Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Albedo,Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W),Scaled System Output (W),AC Daily Power Production (Wh),Hourly Power Use (W) No ECU,Hourly Energy Capacity Change,Battery Capacity (Wh)
1,1,0,0,0,-3,4.1,0.08,0,-3,0,0,0.00,,-575.00,-575.00,22800.00
1,1,1,0,0,-3,3.9,0.08,0,-3,0,0,0.00,,-575.00,-575.00,22225.00
1,1,2,0,0,-3,3.7,0.08,0,-3,0,0,0.00,,-575.00,-575.00,21650.00
1,1,3,0,0,-4,3.4,0.08,0,-4,0,0,0.00,,-575.00,-575.00,21075.00
1,1,4,0,0,-4,3.2,0.08,0,-4,0,0,0.00,,-575.00,-575.00,20500.00
1,1,5,0,0,-4,3.1,0.08,0,-4,0,0,0.00,,-575.00,-575.00,19925.00
1,1,6,0,0,-4,3,0.08,0,-4,0,0,0.00,,-575.00,-575.00,19350.00
1,1,7,0,8,-3,2.9,0.08,7.61,-2.868,3.966,0,0.00,,-575.00,-575.00,18775.00
1,1,8,252,60,-2,2.8,0.08,179.342,1.735,163.062,153.321,996.59,,-575.00,421.59,18200.00
1,1,9,231,117,-1,2.8,0.08,264.713,4.575,251.003,238.145,1547.94,,-575.00,972.94,18621.59
1,1,10,735,90,0,2.8,0.08,605.64,12.775,567.777,543.695,3534.02,,-575.00,2959.02,19594.53
1,1,11,742,103,0,3,0.08,667.366,13.593,622.108,596.101,3874.66,,-575.00,3299.66,22553.55
1,1,12,375,163,0,3,0.08,456.4,9.283,428.804,409.646,2662.70,,-575.00,2087.70,22800.00
1,1,13,105,163,0,2.9,0.08,249.473,5.154,233.929,221.676,1440.89,,-575.00,865.89,22800.00
1,1,14,173,116,0,2.5,0.08,222.24,4.936,209.16,197.785,1285.60,,-575.00,710.60,22800.00
1,1,15,191,62,0,1.9,0.08,148.839,3.667,132.479,123.821,804.84,,-575.00,229.84,22800.00
1,1,16,0,0,0,1.6,0.08,0,0,0,0,0.00,,-575.00,-575.00,22800.00
1,1,17,0,0,0,1.4,0.08,0,0,0,0,0.00,,-575.00,-575.00,22225.00
1,1,18,0,0,0,1.4,0.08,0,0,0,0,0.00,,-575.00,-575.00,21650.00
1,1,19,0,0,-1,1.5,0.87,0,-1,0,0,0.00,,-575.00,-575.00,21075.00
1,1,20,0,0,-1,1.7,0.87,0,-1,0,0,0.00,,-575.00,-575.00,20500.00
1,1,21,0,0,-1,1.9,0.87,0,-1,0,0,0.00,,-575.00,-575.00,19925.00
1,1,22,0,0,0,2.3,0.87,0,0,0,0,0.00,,-575.00,-575.00,19350.00
